step:3600/3600, q_loss:0, rewards:-1032.1863888888888
episode:0/200, average travel time:1237.8242194891202
intersection:0, mean_episode_reward:-62.48305555555556
intersection:1, mean_episode_reward:-48.39805555555555
intersection:2, mean_episode_reward:-52.09333333333333
intersection:3, mean_episode_reward:-47.132777777777775
intersection:4, mean_episode_reward:-49.63194444444444
intersection:5, mean_episode_reward:-17.651388888888892
intersection:6, mean_episode_reward:-80.98805555555555
intersection:7, mean_episode_reward:-38.73527777777777
intersection:8, mean_episode_reward:-41.7661111111111
intersection:9, mean_episode_reward:-11.154166666666669
intersection:10, mean_episode_reward:-8.697499999999998
intersection:11, mean_episode_reward:-12.851111111111106
intersection:12, mean_episode_reward:-46.584444444444436
intersection:13, mean_episode_reward:-43.52027777777778
intersection:14, mean_episode_reward:-43.93333333333333
intersection:15, mean_episode_reward:-49.30361111111109
intersection:16, mean_episode_reward:-2.292499999999999
intersection:17, mean_episode_reward:-1.509444444444445
intersection:18, mean_episode_reward:-1.1388888888888897
intersection:19, mean_episode_reward:-1.0008333333333335
intersection:20, mean_episode_reward:-1.0038888888888888
intersection:21, mean_episode_reward:-0.8961111111111115
intersection:22, mean_episode_reward:-2.981388888888891
intersection:23, mean_episode_reward:-4.380555555555554
intersection:24, mean_episode_reward:-6.320277777777778
intersection:25, mean_episode_reward:-7.889166666666657
intersection:26, mean_episode_reward:-10.690833333333336
intersection:27, mean_episode_reward:-0.6516666666666666
intersection:28, mean_episode_reward:-0.7783333333333338
intersection:29, mean_episode_reward:-4.841388888888888
intersection:30, mean_episode_reward:-1.5422222222222226
intersection:31, mean_episode_reward:-1.3477777777777784
intersection:32, mean_episode_reward:-46.020277777777785
intersection:33, mean_episode_reward:-29.268333333333334
intersection:34, mean_episode_reward:-52.01777777777776
intersection:35, mean_episode_reward:-15.90694444444444
intersection:36, mean_episode_reward:-13.746944444444443
intersection:37, mean_episode_reward:-13.09472222222222
intersection:38, mean_episode_reward:-26.70916666666666
intersection:39, mean_episode_reward:-15.000277777777768
intersection:40, mean_episode_reward:-17.154166666666672
intersection:41, mean_episode_reward:-18.740277777777774
intersection:42, mean_episode_reward:-9.794166666666671
intersection:43, mean_episode_reward:-7.473333333333331
intersection:44, mean_episode_reward:-3.350833333333333
intersection:45, mean_episode_reward:-3.6897222222222203
intersection:46, mean_episode_reward:-1.3066666666666666
intersection:47, mean_episode_reward:-54.723055555555554
Test step:0/200, travel time :1891.9967833491012, rewards:-1503.088888888889
step:3600/3600, q_loss:0, rewards:-1037.9505555555556
episode:1/200, average travel time:1240.3008514664143
intersection:0, mean_episode_reward:-47.3425
intersection:1, mean_episode_reward:-46.20222222222222
intersection:2, mean_episode_reward:-53.326111111111125
intersection:3, mean_episode_reward:-48.285000000000004
intersection:4, mean_episode_reward:-61.520000000000024
intersection:5, mean_episode_reward:-15.658888888888885
intersection:6, mean_episode_reward:-68.5552777777778
intersection:7, mean_episode_reward:-41.00111111111112
intersection:8, mean_episode_reward:-38.75916666666667
intersection:9, mean_episode_reward:-12.011944444444445
intersection:10, mean_episode_reward:-9.83222222222222
intersection:11, mean_episode_reward:-12.96333333333333
intersection:12, mean_episode_reward:-43.961666666666694
intersection:13, mean_episode_reward:-43.49944444444445
intersection:14, mean_episode_reward:-47.03472222222222
intersection:15, mean_episode_reward:-47.651388888888896
intersection:16, mean_episode_reward:-1.8311111111111116
intersection:17, mean_episode_reward:-1.2619444444444443
intersection:18, mean_episode_reward:-1.1688888888888893
intersection:19, mean_episode_reward:-0.8800000000000002
intersection:20, mean_episode_reward:-0.8991666666666674
intersection:21, mean_episode_reward:-0.8330555555555561
intersection:22, mean_episode_reward:-3.860833333333334
intersection:23, mean_episode_reward:-5.990277777777774
intersection:24, mean_episode_reward:-7.0777777777777775
intersection:25, mean_episode_reward:-6.42527777777778
intersection:26, mean_episode_reward:-2.8680555555555562
intersection:27, mean_episode_reward:-0.6108333333333336
intersection:28, mean_episode_reward:-0.7461111111111111
intersection:29, mean_episode_reward:-4.092777777777778
intersection:30, mean_episode_reward:-1.606666666666667
intersection:31, mean_episode_reward:-0.6169444444444444
intersection:32, mean_episode_reward:-42.21583333333334
intersection:33, mean_episode_reward:-28.712222222222216
intersection:34, mean_episode_reward:-50.40388888888889
intersection:35, mean_episode_reward:-11.063055555555556
intersection:36, mean_episode_reward:-9.489999999999998
intersection:37, mean_episode_reward:-26.744722222222222
intersection:38, mean_episode_reward:-37.645555555555546
intersection:39, mean_episode_reward:-14.865555555555554
intersection:40, mean_episode_reward:-19.92611111111112
intersection:41, mean_episode_reward:-21.929444444444446
intersection:42, mean_episode_reward:-13.89944444444444
intersection:43, mean_episode_reward:-21.195555555555554
intersection:44, mean_episode_reward:-4.10138888888889
intersection:45, mean_episode_reward:-4.08361111111111
intersection:46, mean_episode_reward:-1.1316666666666668
intersection:47, mean_episode_reward:-52.16777777777777
