step:3600/3600, q_loss:0, rewards:-611.8105555555557
episode:0/200, average travel time:1562.9176470588236
intersection:0, mean_episode_reward:-26.03444444444445
intersection:1, mean_episode_reward:-24.375555555555557
intersection:2, mean_episode_reward:-22.06722222222223
intersection:3, mean_episode_reward:-17.991111111111113
intersection:4, mean_episode_reward:-16.3575
intersection:5, mean_episode_reward:-13.278333333333338
intersection:6, mean_episode_reward:-13.22277777777776
intersection:7, mean_episode_reward:-17.455555555555563
intersection:8, mean_episode_reward:-13.381111111111105
intersection:9, mean_episode_reward:-10.64611111111111
intersection:10, mean_episode_reward:-12.754166666666666
intersection:11, mean_episode_reward:-11.916666666666664
intersection:12, mean_episode_reward:-12.825833333333346
intersection:13, mean_episode_reward:-17.672777777777778
intersection:14, mean_episode_reward:-26.362222222222222
intersection:15, mean_episode_reward:-15.40555555555555
intersection:16, mean_episode_reward:-0.5077777777777777
intersection:17, mean_episode_reward:-1.7069444444444455
intersection:18, mean_episode_reward:-0.7522222222222225
intersection:19, mean_episode_reward:-0.908333333333333
intersection:20, mean_episode_reward:-0.6841666666666669
intersection:21, mean_episode_reward:-0.42444444444444446
intersection:22, mean_episode_reward:-1.3411111111111111
intersection:23, mean_episode_reward:-1.0608333333333335
intersection:24, mean_episode_reward:-0.38777777777777767
intersection:25, mean_episode_reward:-0.22388888888888892
intersection:26, mean_episode_reward:-0.2952777777777777
intersection:27, mean_episode_reward:-0.33
intersection:28, mean_episode_reward:-0.7127777777777778
intersection:29, mean_episode_reward:-0.811111111111111
intersection:30, mean_episode_reward:-0.7269444444444443
intersection:31, mean_episode_reward:-0.6058333333333333
intersection:32, mean_episode_reward:-21.615000000000002
intersection:33, mean_episode_reward:-19.886666666666667
intersection:34, mean_episode_reward:-15.396111111111113
intersection:35, mean_episode_reward:-19.04083333333333
intersection:36, mean_episode_reward:-16.094999999999995
intersection:37, mean_episode_reward:-12.212499999999995
intersection:38, mean_episode_reward:-14.037777777777778
intersection:39, mean_episode_reward:-10.654166666666665
intersection:40, mean_episode_reward:-9.058888888888891
intersection:41, mean_episode_reward:-11.346111111111107
intersection:42, mean_episode_reward:-13.020555555555557
intersection:43, mean_episode_reward:-14.207777777777778
intersection:44, mean_episode_reward:-25.18083333333334
intersection:45, mean_episode_reward:-31.298611111111107
intersection:46, mean_episode_reward:-10.633055555555554
intersection:47, mean_episode_reward:-84.90027777777779
Test step:0/200, travel time :3052.5729411764705, rewards:-1304.518611111111
step:3600/3600, q_loss:0, rewards:-648.3025
episode:1/200, average travel time:1643.5211764705882
intersection:0, mean_episode_reward:-18.640833333333326
intersection:1, mean_episode_reward:-15.17027777777778
intersection:2, mean_episode_reward:-22.58694444444445
intersection:3, mean_episode_reward:-17.270555555555546
intersection:4, mean_episode_reward:-21.262222222222213
intersection:5, mean_episode_reward:-13.439166666666667
intersection:6, mean_episode_reward:-11.598888888888887
intersection:7, mean_episode_reward:-23.188055555555554
intersection:8, mean_episode_reward:-15.707500000000007
intersection:9, mean_episode_reward:-11.66194444444444
intersection:10, mean_episode_reward:-12.606388888888882
intersection:11, mean_episode_reward:-12.705277777777779
intersection:12, mean_episode_reward:-19.139444444444457
intersection:13, mean_episode_reward:-30.620555555555576
intersection:14, mean_episode_reward:-21.273888888888898
intersection:15, mean_episode_reward:-23.27083333333335
intersection:16, mean_episode_reward:-0.6508333333333335
intersection:17, mean_episode_reward:-1.7322222222222223
intersection:18, mean_episode_reward:-1.4994444444444444
intersection:19, mean_episode_reward:-0.7516666666666667
intersection:20, mean_episode_reward:-0.5722222222222222
intersection:21, mean_episode_reward:-0.4891666666666666
intersection:22, mean_episode_reward:-0.9116666666666666
intersection:23, mean_episode_reward:-0.872222222222222
intersection:24, mean_episode_reward:-0.4444444444444444
intersection:25, mean_episode_reward:-0.28805555555555545
intersection:26, mean_episode_reward:-0.34694444444444444
intersection:27, mean_episode_reward:-0.39861111111111114
intersection:28, mean_episode_reward:-0.5933333333333336
intersection:29, mean_episode_reward:-0.9552777777777776
intersection:30, mean_episode_reward:-0.8455555555555556
intersection:31, mean_episode_reward:-0.29388888888888887
intersection:32, mean_episode_reward:-20.28
intersection:33, mean_episode_reward:-26.964444444444446
intersection:34, mean_episode_reward:-14.139166666666668
intersection:35, mean_episode_reward:-17.55472222222222
intersection:36, mean_episode_reward:-21.18305555555556
intersection:37, mean_episode_reward:-12.586111111111109
intersection:38, mean_episode_reward:-10.67388888888889
intersection:39, mean_episode_reward:-10.219166666666666
intersection:40, mean_episode_reward:-14.857777777777775
intersection:41, mean_episode_reward:-12.932499999999997
intersection:42, mean_episode_reward:-12.15222222222222
intersection:43, mean_episode_reward:-14.513055555555555
intersection:44, mean_episode_reward:-30.54777777777779
intersection:45, mean_episode_reward:-25.983611111111102
intersection:46, mean_episode_reward:-15.189444444444444
intersection:47, mean_episode_reward:-86.73722222222224
Test step:1/200, travel time :3052.5729411764705, rewards:-1304.518611111111
step:3600/3600, q_loss:281.5467834472656, rewards:-644.6627777777777
episode:2/200, average travel time:1631.0647058823529
intersection:0, mean_episode_reward:-43.39361111111112
intersection:1, mean_episode_reward:-21.539722222222224
intersection:2, mean_episode_reward:-25.57722222222224
intersection:3, mean_episode_reward:-18.366666666666667
intersection:4, mean_episode_reward:-14.086111111111114
intersection:5, mean_episode_reward:-15.476666666666668
intersection:6, mean_episode_reward:-14.51666666666667
intersection:7, mean_episode_reward:-21.97222222222222
intersection:8, mean_episode_reward:-15.407222222222224
intersection:9, mean_episode_reward:-13.724722222222221
intersection:10, mean_episode_reward:-14.719444444444436
intersection:11, mean_episode_reward:-14.213055555555558
intersection:12, mean_episode_reward:-15.705833333333329
intersection:13, mean_episode_reward:-25.782222222222227
intersection:14, mean_episode_reward:-32.47888888888891
intersection:15, mean_episode_reward:-22.646111111111114
intersection:16, mean_episode_reward:-0.18083333333333332
