step:3600/3600, q_loss:0, rewards:-640.2080555555556
episode:0/200, average travel time:1622.3764705882354
intersection:0, mean_episode_reward:-47.72722222222223
intersection:1, mean_episode_reward:-26.123611111111117
intersection:2, mean_episode_reward:-17.545833333333327
intersection:3, mean_episode_reward:-17.12527777777779
intersection:4, mean_episode_reward:-13.449999999999998
intersection:5, mean_episode_reward:-10.593888888888888
intersection:6, mean_episode_reward:-12.441944444444445
intersection:7, mean_episode_reward:-14.039722222222215
intersection:8, mean_episode_reward:-13.434444444444443
intersection:9, mean_episode_reward:-12.75027777777778
intersection:10, mean_episode_reward:-15.082777777777773
intersection:11, mean_episode_reward:-18.431944444444454
intersection:12, mean_episode_reward:-29.194444444444454
intersection:13, mean_episode_reward:-23.78083333333334
intersection:14, mean_episode_reward:-27.735
intersection:15, mean_episode_reward:-30.972500000000007
intersection:16, mean_episode_reward:-0.32777777777777767
intersection:17, mean_episode_reward:-1.6191666666666673
intersection:18, mean_episode_reward:-0.7530555555555558
intersection:19, mean_episode_reward:-1.0550000000000002
intersection:20, mean_episode_reward:-1.3894444444444447
intersection:21, mean_episode_reward:-0.39361111111111113
intersection:22, mean_episode_reward:-0.5636111111111111
intersection:23, mean_episode_reward:-1.799444444444444
intersection:24, mean_episode_reward:-0.4275
intersection:25, mean_episode_reward:-0.1527777777777778
intersection:26, mean_episode_reward:-0.19333333333333333
intersection:27, mean_episode_reward:-0.4736111111111111
intersection:28, mean_episode_reward:-0.7738888888888888
intersection:29, mean_episode_reward:-1.275000000000001
intersection:30, mean_episode_reward:-0.6444444444444444
intersection:31, mean_episode_reward:-0.47277777777777785
intersection:32, mean_episode_reward:-14.529999999999998
intersection:33, mean_episode_reward:-13.609722222222228
intersection:34, mean_episode_reward:-13.482777777777784
intersection:35, mean_episode_reward:-17.929166666666678
intersection:36, mean_episode_reward:-10.915555555555555
intersection:37, mean_episode_reward:-9.950277777777778
intersection:38, mean_episode_reward:-9.493333333333332
intersection:39, mean_episode_reward:-9.926388888888882
intersection:40, mean_episode_reward:-11.718888888888891
intersection:41, mean_episode_reward:-12.1025
intersection:42, mean_episode_reward:-11.669166666666666
intersection:43, mean_episode_reward:-13.021111111111109
intersection:44, mean_episode_reward:-25.54999999999999
intersection:45, mean_episode_reward:-26.30111111111111
intersection:46, mean_episode_reward:-13.419166666666666
intersection:47, mean_episode_reward:-83.84472222222222
Test step:0/200, travel time :3047.2829411764706, rewards:-1289.2730555555556
